    hypertable_name     | hypertable_schema | size_gb
------------------------+-------------------+---------
 packaging_sensor_data  | public            |     974
 ebi_sifir_kasali       | public            |      77
 ycv_tank_histories     | public            |      55
 process_oksijen_db     | public            |      52
 filter_db              | proses            |      43
 kaynatmadata           | kaynatma          |      23
 bbtdata                | proses            |      17
 kgflog_db              | public            |      14
 maltdata               | malt              |      10
 utility_electricity    | public            |       5
 ycv_cip_history        | public            |       5
 bbt_flow               | public            |       4
 biragerikazanim        | proses            |       3
 filterlog_db           | public            |       3
 bbt_view               | public            |       2
 ccv_history            | public            |       2
 sensor_data            | malt              |       2
 utility_co2            | public            |       2
 kpi_utility            | public            |       1
 faults_log             | public            |       1
 ftaglogs               | public            |       1
 suzulen_sayac          | public            |       1
 laktik_db              | public            |       1
 mayse_db               | public            |       1
 running_logger         | public            |       1
 current_orders         | public            |       1
 unit_counter_db2       | public            |       1
 compressors            | public            |       1
 suzme_db               | public            |       0
 ccv_glikol_db          | public            |       0
 counter                | public            |       0
 props_per_minute       | public            |       0
 tw_counter             | public            |       0
 millstar_db            | public            |       0
 boolean_log_db         | public            |       0
 kostik                 | public            |       0
 electricity_kÄ±smi      | public            |       0
 utility_water          | public            |       0
 kgf_step1              | public            |       0
 kaynatma_kazanlari_db2 | public            |       0
 sira_plan              | public            |       0
 filtre_plan            | public            |       0
 kaynatma_kazanlari_db  | public            |       0
 isitici_db             | public            |       0
 test                   | public            |       0
 powermill_db           | public            |       0
 onsira_db              | public            |       0
 cellar_line            | public            |       0
 c3_filler              | paketleme         |       0
